file,line,literal,class,sentence,notes
README.md,91,50%,CURRENT,A candidate counts as a hit when it contains at least 50% of a ring **and**,first-pass default: reads as a present-tense assertion
README.md,96,0.291,CURRENT,| **score** | **0.291** | **0.157** | **0.076** | **23.9%** |,first-pass default: reads as a present-tense assertion
README.md,96,0.157,CURRENT,| **score** | **0.291** | **0.157** | **0.076** | **23.9%** |,first-pass default: reads as a present-tense assertion
README.md,96,0.076,CURRENT,| **score** | **0.291** | **0.157** | **0.076** | **23.9%** |,first-pass default: reads as a present-tense assertion
README.md,96,23.9%,CURRENT,| **score** | **0.291** | **0.157** | **0.076** | **23.9%** |,first-pass default: reads as a present-tense assertion
README.md,97,0.094,CURRENT,| size | 0.094 | 0.074 | 0.051 | 18.5% |,first-pass default: reads as a present-tense assertion
README.md,97,0.074,CURRENT,| size | 0.094 | 0.074 | 0.051 | 18.5% |,first-pass default: reads as a present-tense assertion
README.md,97,0.051,CURRENT,| size | 0.094 | 0.074 | 0.051 | 18.5% |,first-pass default: reads as a present-tense assertion
README.md,97,18.5%,CURRENT,| size | 0.094 | 0.074 | 0.051 | 18.5% |,first-pass default: reads as a present-tense assertion
README.md,98,0.065,CURRENT,| degree | 0.065 | 0.072 | 0.049 | 16.6% |,first-pass default: reads as a present-tense assertion
README.md,98,0.072,CURRENT,| degree | 0.065 | 0.072 | 0.049 | 16.6% |,first-pass default: reads as a present-tense assertion
README.md,98,0.049,CURRENT,| degree | 0.065 | 0.072 | 0.049 | 16.6% |,first-pass default: reads as a present-tense assertion
README.md,98,16.6%,CURRENT,| degree | 0.065 | 0.072 | 0.049 | 16.6% |,first-pass default: reads as a present-tense assertion
README.md,99,0.000,CURRENT,| random | 0.000 | 0.004 | 0.004 | 5.4% |,first-pass default: reads as a present-tense assertion
README.md,99,0.004,CURRENT,| random | 0.000 | 0.004 | 0.004 | 5.4% |,first-pass default: reads as a present-tense assertion
README.md,99,0.004,CURRENT,| random | 0.000 | 0.004 | 0.004 | 5.4% |,first-pass default: reads as a present-tense assertion
README.md,99,5.4%,CURRENT,| random | 0.000 | 0.004 | 0.004 | 5.4% |,first-pass default: reads as a present-tense assertion
README.md,106,95%,DERIVED,| k | delta | 95% CI | verdict |,line asserts a relationship between two numbers
README.md,108,0.197,CURRENT,"| 10 | **+0.197** | [+0.124, +0.268] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,108,0.124,CURRENT,"| 10 | **+0.197** | [+0.124, +0.268] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,108,0.268,CURRENT,"| 10 | **+0.197** | [+0.124, +0.268] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,109,0.084,CURRENT,"| 20 | **+0.084** | [+0.047, +0.118] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,109,0.047,CURRENT,"| 20 | **+0.084** | [+0.047, +0.118] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,109,0.118,CURRENT,"| 20 | **+0.084** | [+0.047, +0.118] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,110,0.025,CURRENT,"| 50 | **+0.025** | [+0.009, +0.041] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,110,0.009,CURRENT,"| 50 | **+0.025** | [+0.009, +0.041] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,110,0.041,CURRENT,"| 50 | **+0.025** | [+0.009, +0.041] | **beats size** |",first-pass default: reads as a present-tense assertion
README.md,111,0.006,HISTORICAL,"| 100 | +0.006 | [−0.003, +0.014] | not distinguishable |",context carries a past-tense / correction / superseded marker
README.md,111,0.003,HISTORICAL,"| 100 | +0.006 | [−0.003, +0.014] | not distinguishable |",context carries a past-tense / correction / superseded marker
README.md,111,0.014,HISTORICAL,"| 100 | +0.006 | [−0.003, +0.014] | not distinguishable |",context carries a past-tense / correction / superseded marker
README.md,115,0.009,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.027,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.041,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
